"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1827","checkCart","Smoke Test SauceDemo","Fri Nov 21 10:17:29 UTC 2025","passed","Fri Nov 21 10:17:31 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","1551","checkLocators","Smoke Test SauceDemo","Fri Nov 21 10:17:08 UTC 2025","passed","Fri Nov 21 10:17:09 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"Проверка входа в магазин с позитвными данными","621","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Nov 21 10:17:10 UTC 2025","passed","Fri Nov 21 10:17:11 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
