"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11120","checkCart","Smoke Test SauceDemo","Fri Jan 30 15:57:54 UTC 2026","broken","Fri Jan 30 15:58:05 UTC 2026","tests.CartTest","Firefox","tests.CartTest","checkCart"
"Проверка входа в магазин с позитвными данными","10548","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Jan 30 15:57:44 UTC 2026","broken","Fri Jan 30 15:57:55 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1544","checkLocators","Smoke Test SauceDemo","Fri Jan 30 15:57:42 UTC 2026","passed","Fri Jan 30 15:57:44 UTC 2026","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
