"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1339","checkCart","Smoke Test SauceDemo","Fri Jan 02 10:18:06 UTC 2026","passed","Fri Jan 02 10:18:08 UTC 2026","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","1553","checkLocators","Smoke Test SauceDemo","Fri Jan 02 10:18:01 UTC 2026","passed","Fri Jan 02 10:18:02 UTC 2026","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"Проверка входа в магазин с позитвными данными","683","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Jan 02 10:18:03 UTC 2026","passed","Fri Jan 02 10:18:03 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
