"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1528","checkCart","Smoke Test SauceDemo","Fri Sep 12 10:16:58 UTC 2025","passed","Fri Sep 12 10:17:00 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"Проверка входа в магазин с позитвными данными","650","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Sep 12 10:16:55 UTC 2025","passed","Fri Sep 12 10:16:55 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1694","checkLocators","Smoke Test SauceDemo","Fri Sep 12 10:16:53 UTC 2025","passed","Fri Sep 12 10:16:54 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
