"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитвными данными","637","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Dec 05 10:19:01 UTC 2025","passed","Fri Dec 05 10:19:02 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","2582","checkLocators","Smoke Test SauceDemo","Fri Dec 05 10:18:58 UTC 2025","passed","Fri Dec 05 10:19:01 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1436","checkCart","Smoke Test SauceDemo","Fri Dec 05 10:18:58 UTC 2025","passed","Fri Dec 05 10:18:59 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
