"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1241","checkCart","Smoke Test SauceDemo","Fri Oct 17 10:17:06 UTC 2025","passed","Fri Oct 17 10:17:07 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"Проверка входа в магазин с позитвными данными","645","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Oct 17 10:17:01 UTC 2025","passed","Fri Oct 17 10:17:02 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1274","checkLocators","Smoke Test SauceDemo","Fri Oct 17 10:17:00 UTC 2025","passed","Fri Oct 17 10:17:01 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
