"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10932","checkCart","Smoke Test SauceDemo","Fri Jan 23 10:20:44 UTC 2026","broken","Fri Jan 23 10:20:55 UTC 2026","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","1455","checkLocators","Smoke Test SauceDemo","Fri Jan 23 10:20:41 UTC 2026","passed","Fri Jan 23 10:20:42 UTC 2026","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"Проверка входа в магазин с позитвными данными","10754","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Jan 23 10:20:43 UTC 2026","broken","Fri Jan 23 10:20:54 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
