"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","checkLocators","Smoke Test SauceDemo","Fri Dec 12 10:18:53 UTC 2025","passed","Fri Dec 12 10:18:55 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1309","checkCart","Smoke Test SauceDemo","Fri Dec 12 10:18:58 UTC 2025","passed","Fri Dec 12 10:19:00 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"Проверка входа в магазин с позитвными данными","636","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Dec 12 10:18:55 UTC 2025","passed","Fri Dec 12 10:18:56 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
