"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитвными данными","624","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Dec 26 10:18:39 UTC 2025","passed","Fri Dec 26 10:18:40 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1425","checkCart","Smoke Test SauceDemo","Fri Dec 26 10:18:44 UTC 2025","passed","Fri Dec 26 10:18:45 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","2916","checkLocators","Smoke Test SauceDemo","Fri Dec 26 10:18:36 UTC 2025","passed","Fri Dec 26 10:18:39 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
