"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитвными данными","580","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Oct 03 10:16:02 UTC 2025","passed","Fri Oct 03 10:16:03 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","1543","checkCart","Smoke Test SauceDemo","Fri Oct 03 10:16:08 UTC 2025","passed","Fri Oct 03 10:16:09 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","1670","checkLocators","Smoke Test SauceDemo","Fri Oct 03 10:16:00 UTC 2025","passed","Fri Oct 03 10:16:02 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
