"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1376","checkLocators","Smoke Test SauceDemo","Fri Oct 10 10:17:25 UTC 2025","passed","Fri Oct 10 10:17:26 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","1529","checkCart","Smoke Test SauceDemo","Fri Oct 10 10:17:31 UTC 2025","passed","Fri Oct 10 10:17:32 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCart"
"Проверка входа в магазин с позитвными данными","623","Проверка входа в магазин с позитвными данными","Smoke Test SauceDemo","Fri Oct 10 10:17:26 UTC 2025","passed","Fri Oct 10 10:17:27 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
